id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
14668,A00968,"Turner, Joseph Mallord William",artist,558,Marine Dabblers,1811,Etching on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 177 x 258 mm,177,258,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00968_8.jpg,http://www.tate.org.uk/art/artworks/turner-marine-dabblers-a00968
14669,A00969,"Turner, Joseph Mallord William",artist,558,"Marine Dabblers, engraved by William Say",1811,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 179 x 262 mm,179,262,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00969_8.jpg,http://www.tate.org.uk/art/artworks/turner-marine-dabblers-engraved-by-william-say-a00969
14670,A00970,"Turner, Joseph Mallord William",artist,558,"Near Blair Athol, Scotland",1811,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 179 x 261 mm,179,261,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00970_8.jpg,http://www.tate.org.uk/art/artworks/turner-near-blair-athol-scotland-a00970
14671,A00971,"Turner, Joseph Mallord William",artist,558,"Near Blair Athol Scotland, engraved by William Say",1811,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 181 x 264 mm,181,264,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00971_8.jpg,http://www.tate.org.uk/art/artworks/turner-near-blair-athol-scotland-engraved-by-william-say-a00971
14672,A00972,"Turner, Joseph Mallord William",artist,558,Lauffenburgh on the Rhine,1811,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 175 x 257 mm,175,257,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00972_8.jpg,http://www.tate.org.uk/art/artworks/turner-lauffenburgh-on-the-rhine-a00972
14673,A00973,"Turner, Joseph Mallord William",artist,558,"Lauffenburgh on the Rhine, engraved by Thomas Hodgetts",1811,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 175 x 258 mm,175,258,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00973_8.jpg,http://www.tate.org.uk/art/artworks/turner-lauffenburgh-on-the-rhine-engraved-by-thomas-hodgetts-a00973
14674,A00974,"Turner, Joseph Mallord William",artist,558,Young Anglers,1811,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 177 x 259 mm,177,259,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00974_8.jpg,http://www.tate.org.uk/art/artworks/turner-young-anglers-a00974
14675,A00975,"Turner, Joseph Mallord William",artist,558,"Young Anglers, engraved by Robert Dunkarton",1811,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 179 x 262 mm,179,262,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00975_8.jpg,http://www.tate.org.uk/art/artworks/turner-young-anglers-engraved-by-robert-dunkarton-a00975
14676,A00976,"Turner, Joseph Mallord William",artist,558,"St Catherine’s Hill, near Guildford",1811,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 184 x 260 mm,184,260,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00976_8.jpg,http://www.tate.org.uk/art/artworks/turner-st-catherines-hill-near-guildford-a00976
14677,A00977,"Turner, Joseph Mallord William",artist,558,"St Catherine’s Hill near Guildford, engraved by J.C. Easling",1811,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 186 x 262 mm,186,262,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00977_8.jpg,http://www.tate.org.uk/art/artworks/turner-st-catherines-hill-near-guildford-engraved-by-jc-easling-a00977
14678,A00978,"Turner, Joseph Mallord William",artist,558,"Martello Towers, nr Bexhill, Sussex",1811,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 176 x 257 mm,176,257,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00978_8.jpg,http://www.tate.org.uk/art/artworks/turner-martello-towers-nr-bexhill-sussex-a00978
14679,A00979,"Turner, Joseph Mallord William",artist,558,"Martello Towers near Bexhill, Sussex, engraved by William Say",1811,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 179 x 261 mm,179,261,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00979_8.jpg,http://www.tate.org.uk/art/artworks/turner-martello-towers-near-bexhill-sussex-engraved-by-william-say-a00979
14680,A00980,"Turner, Joseph Mallord William",artist,558,Inverary Pier,1811,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 177 x 260 mm,177,260,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00980_8.jpg,http://www.tate.org.uk/art/artworks/turner-inverary-pier-a00980
14681,A00981,"Turner, Joseph Mallord William",artist,558,Inverary Pier. Loch Fyne. Morning,1811,"Etching, aquatint and mezzotint on paper",Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 179 x 261 mm,179,261,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00981_8.jpg,http://www.tate.org.uk/art/artworks/turner-inverary-pier-loch-fyne-morning-a00981
14682,A00982,"Turner, Joseph Mallord William",artist,558,From Spenser’s Fairy Queen,1811,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 180 x 260 mm,180,260,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00982_8.jpg,http://www.tate.org.uk/art/artworks/turner-from-spensers-fairy-queen-a00982
14683,A00983,"Turner, Joseph Mallord William",artist,558,"From Spenser’s Fairy Queen, engraved by Thomas Hodgetts",1811,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 182 x 265 mm,182,265,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00983_8.jpg,http://www.tate.org.uk/art/artworks/turner-from-spensers-fairy-queen-engraved-by-thomas-hodgetts-a00983
14684,A00984,"Turner, Joseph Mallord William",artist,558,Water-Mill,1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 181 x 259 mm,181,259,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00984_8.jpg,http://www.tate.org.uk/art/artworks/turner-water-mill-a00984
14685,A00985,"Turner, Joseph Mallord William",artist,558,"Water Mill, engraved by Robert Dunkarton",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 182 x 262 mm,182,262,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00985_8.jpg,http://www.tate.org.uk/art/artworks/turner-water-mill-engraved-by-robert-dunkarton-a00985
14686,A00986,"Turner, Joseph Mallord William",artist,558,Scene in the Campagna,1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 180 x 260 mm,180,260,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00986_8.jpg,http://www.tate.org.uk/art/artworks/turner-scene-in-the-campagna-a00986
14687,A00987,"Turner, Joseph Mallord William",artist,558,"Scene in the Campagna, engraved by William Say",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 182 x 264 mm,182,264,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00987_8.jpg,http://www.tate.org.uk/art/artworks/turner-scene-in-the-campagna-engraved-by-william-say-a00987
14688,A00988,"Turner, Joseph Mallord William",artist,558,Crypt of Kirkstall Abbey,c.1811–2,Etching and aquatint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 180 x 264 mm,180,264,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00988_8.jpg,http://www.tate.org.uk/art/artworks/turner-crypt-of-kirkstall-abbey-a00988
14689,A00989,"Turner, Joseph Mallord William",artist,558,The Crypt of Kirkstall Abbey,1812,"Etching, aquatint and mezzotint on paper",Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 180 x 264 mm,180,264,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00989_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-crypt-of-kirkstall-abbey-a00989
14690,A00990,"Turner, Joseph Mallord William",artist,558,The Mildmay Sea-piece,1812,Etching on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 180 x 261 mm,180,261,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00990_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-mildmay-sea-piece-a00990
14691,A00991,"Turner, Joseph Mallord William",artist,558,"The Mildmay Sea Piece, engraved by Wiliam Annis and J.C. Easling",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 181 x 264 mm,181,264,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00991_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-mildmay-sea-piece-engraved-by-wiliam-annis-and-jc-easling-a00991
14692,A00992,"Turner, Joseph Mallord William",artist,558,Procris and Cephalus,c.1811–2,Etching on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 185 x 262 mm,185,262,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00992_8.jpg,http://www.tate.org.uk/art/artworks/turner-procris-and-cephalus-a00992
14693,A00993,"Turner, Joseph Mallord William",artist,558,"Procris and Cephalus, engraved by George Clint",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 187 x 265 mm,187,265,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00993_8.jpg,http://www.tate.org.uk/art/artworks/turner-procris-and-cephalus-engraved-by-george-clint-a00993
14694,A00994,"Turner, Joseph Mallord William",artist,558,"Winchelsea, Sussex",1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 180 x 258 mm,180,258,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00994_8.jpg,http://www.tate.org.uk/art/artworks/turner-winchelsea-sussex-a00994
14695,A00995,"Turner, Joseph Mallord William",artist,558,"Winchelsea, Sussex, engraved by J.C. Easling",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 181 x 262 mm,181,262,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00995_8.jpg,http://www.tate.org.uk/art/artworks/turner-winchelsea-sussex-engraved-by-jc-easling-a00995
14696,A00996,"Turner, Joseph Mallord William",artist,558,The Bridge and Goats,1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 181 x 252 mm,181,252,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00996_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-bridge-and-goats-a00996
14697,A00997,"Turner, Joseph Mallord William",artist,558,"Bridge and Goats, engraved by F.C. Lewis",1812,"Etching, aquatint and mezzotint on paper",Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 182 x 255 mm,182,255,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00997_8.jpg,http://www.tate.org.uk/art/artworks/turner-bridge-and-goats-engraved-by-fc-lewis-a00997
14698,A00998,"Turner, Joseph Mallord William",artist,558,Calm,1812,Print on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 184 x 260 mm,184,260,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00998_8.jpg,http://www.tate.org.uk/art/artworks/turner-calm-a00998
14699,A00999,"Turner, Joseph Mallord William",artist,558,Calm,1812,"Etching, aquatint and mezzotint on paper",Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 178 x 267 mm,178,267,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00999_8.jpg,http://www.tate.org.uk/art/artworks/turner-calm-a00999
14700,A01000,"Turner, Joseph Mallord William",artist,558,"Peat Bog, Scotland",1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 178 x 258 mm,178,258,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01000_8.jpg,http://www.tate.org.uk/art/artworks/turner-peat-bog-scotland-a01000
14701,A01001,"Turner, Joseph Mallord William",artist,558,"Peat Bog, Scotland, engraved by George Clint",1812,"Etching, mezzotint and aquatint on paper",Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 179 x 260 mm,179,260,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01001_8.jpg,http://www.tate.org.uk/art/artworks/turner-peat-bog-scotland-engraved-by-george-clint-a01001
14702,A01002,"Turner, Joseph Mallord William",artist,558,Rispah,1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 179 x 262 mm,179,262,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01002_8.jpg,http://www.tate.org.uk/art/artworks/turner-rispah-a01002
14703,A01003,"Turner, Joseph Mallord William",artist,558,"Rispah, engraved by Robert Dunkarton",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 180 x 263 mm,180,263,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01003_8.jpg,http://www.tate.org.uk/art/artworks/turner-rispah-engraved-by-robert-dunkarton-a01003
14704,A01004,"Turner, Joseph Mallord William",artist,558,Hedging and Ditching,1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 184 x 259 mm,184,259,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01004_8.jpg,http://www.tate.org.uk/art/artworks/turner-hedging-and-ditching-a01004
14705,A01005,"Turner, Joseph Mallord William",artist,558,"Hedging and Ditching, engraved by J.C. Easling",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 186 x 262 mm,186,262,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01005_8.jpg,http://www.tate.org.uk/art/artworks/turner-hedging-and-ditching-engraved-by-jc-easling-a01005
14706,A01006,"Turner, Joseph Mallord William",artist,558,River Wye,1812,Print on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 183 x 264 mm,183,264,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01006_8.jpg,http://www.tate.org.uk/art/artworks/turner-river-wye-a01006
14707,A01007,"Turner, Joseph Mallord William",artist,558,"River Wye, engraved by W. Annis",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 184 x 265 mm,184,265,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01007_8.jpg,http://www.tate.org.uk/art/artworks/turner-river-wye-engraved-by-w-annis-a01007
14708,A01008,"Turner, Joseph Mallord William",artist,558,Chain of Alps from Grenoble to Chamberi,1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 178 x 259 mm,178,259,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01008_8.jpg,http://www.tate.org.uk/art/artworks/turner-chain-of-alps-from-grenoble-to-chamberi-a01008
14709,A01009,"Turner, Joseph Mallord William",artist,558,"Chain of Alps from Grenoble to Chamberi, engraved by William Say",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 178 x 261 mm,178,261,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01009_8.jpg,http://www.tate.org.uk/art/artworks/turner-chain-of-alps-from-grenoble-to-chamberi-engraved-by-william-say-a01009
14710,A01010,"Turner, Joseph Mallord William",artist,558,Mer de Glace,1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 178 x 253 mm,178,253,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01010_8.jpg,http://www.tate.org.uk/art/artworks/turner-mer-de-glace-a01010
14711,A01011,"Turner, Joseph Mallord William",artist,558,Mer de Glace,1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 179 x 257 mm,179,257,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01011_8.jpg,http://www.tate.org.uk/art/artworks/turner-mer-de-glace-a01011
14712,A01012,"Turner, Joseph Mallord William",artist,558,"Rivaux Abbey, Yorkshire",1812,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 182 x 265 mm,182,265,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01012_8.jpg,http://www.tate.org.uk/art/artworks/turner-rivaux-abbey-yorkshire-a01012
14713,A01013,"Turner, Joseph Mallord William",artist,558,"Rivaux Abbey, engraved by Henry Dawe",1812,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 183 x 266 mm,183,266,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01013_8.jpg,http://www.tate.org.uk/art/artworks/turner-rivaux-abbey-engraved-by-henry-dawe-a01013
14714,A01014,"Turner, Joseph Mallord William",artist,558,"Rivaux Abbey, Yorkshire",1812,Etching and mezzotint engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1812,1925,image: 183 x 267 mm,183,267,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01014_8.jpg,http://www.tate.org.uk/art/artworks/turner-rivaux-abbey-yorkshire-a01014
14715,A01015,"Turner, Joseph Mallord William",artist,558,Solway Moss,1816,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1816,1925,image: 184 x 267 mm,184,267,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01015_8.jpg,http://www.tate.org.uk/art/artworks/turner-solway-moss-a01015
16041,A01016,"Webb, Philip",artist,589,Study for Heraldic Glass,1893,"Watercolour, ink and graphite on paper",Bequeathed by J.R. Holliday 1927,1893,1927,support: 165 x 157 mm,165,157,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01016_8.jpg,http://www.tate.org.uk/art/artworks/webb-study-for-heraldic-glass-a01016
16042,A01017,"Webb, Philip",artist,589,Study for Heraldic Glass,1893,Graphite on paper,Bequeathed by J.R. Holliday 1927,1893,1927,support: 267 x 279 mm,267,279,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01017_8.jpg,http://www.tate.org.uk/art/artworks/webb-study-for-heraldic-glass-a01017
16043,A01018,"Webb, Philip",artist,589,Emblems of Saints Luke and John,1863,"Watercolour, ink and graphite on paper",Bequeathed by J.R. Holliday 1927,1863,1927,support: 346 x 492 mm,346,492,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01018_8.jpg,http://www.tate.org.uk/art/artworks/webb-emblems-of-saints-luke-and-john-a01018
16044,A01019,"Webb, Philip",artist,589,Emblems of Saints Matthew and Mark,1863,"Watercolour, ink and graphite on paper",Bequeathed by J.R. Holliday 1927,1863,1927,support: 356 x 530 mm,356,530,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01019_8.jpg,http://www.tate.org.uk/art/artworks/webb-emblems-of-saints-matthew-and-mark-a01019
16166,A01020,"Wilkie, Sir David",artist,600,After Rembrandt,1822,Ink and watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,1822,1896,support: 102 x 83 mm,102,83,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A01/A01020_8.jpg,http://www.tate.org.uk/art/artworks/wilkie-after-rembrandt-a01020
16171,A01021,"Wilkie, Sir David",artist,600,Archers,date not known,Graphite and watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,support: 92 x 105 mm,92,105,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01021_8.jpg,http://www.tate.org.uk/art/artworks/wilkie-archers-a01021
16167,A01022,"Wilkie, Sir David",artist,600,Head and Shoulders of a Woman and Another Head,date not known,Ink and watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,support: 121 x 83 mm,121,83,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01022_8.jpg,http://www.tate.org.uk/art/artworks/wilkie-head-and-shoulders-of-a-woman-and-another-head-a01022
16168,A01023,"Wilkie, Sir David",artist,600,Head and Shoulders of a Woman,date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,support: 89 x 38 mm,89,38,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01023_8.jpg,http://www.tate.org.uk/art/artworks/wilkie-head-and-shoulders-of-a-woman-a01023
16169,A01024,"Wilkie, Sir David",artist,600,Julia Emily Gordon in a Fez,1830,Graphite and watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,1830,1896,support: 98 x 102 mm,98,102,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A01/A01024_8.jpg,http://www.tate.org.uk/art/artworks/wilkie-julia-emily-gordon-in-a-fez-a01024
16170,A01025,"Wilkie, Sir David",artist,600,Head and Shoulders of a Woman,1833,Ink and watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,1833,1896,support: 86 x 79 mm,86,79,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A01/A01025_8.jpg,http://www.tate.org.uk/art/artworks/wilkie-head-and-shoulders-of-a-woman-a01025
16393,A01026,"Witherington, William Frederick",artist,608,The Broken Pitcher,c.1814,Oil paint on board,Bequeathed by Miss Julia Emily Gordon 1896,1814,1896,support: 117 x 92 mm,117,92,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01026_8.jpg,http://www.tate.org.uk/art/artworks/witherington-the-broken-pitcher-a01026
16394,A01027,"Witherington, William Frederick",artist,608,Going to School,c.1817,Oil paint on board,Bequeathed by Miss Julia Emily Gordon 1896,1817,1896,support: 117 x 92 mm,117,92,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01027_8.jpg,http://www.tate.org.uk/art/artworks/witherington-going-to-school-a01027
16395,A01028,"Witherington, William Frederick",artist,608,The Gleaners,date not known,Oil paint on board,Bequeathed by Miss Julia Emily Gordon 1896,,1896,support: 117 x 92 mm,117,92,,mm,,,http://www.tate.org.uk/art/images/work/A/A01/A01028_8.jpg,http://www.tate.org.uk/art/artworks/witherington-the-gleaners-a01028
550,A01029,"Ardizzone, Edward",artist,659,At the Brasserie,1931,Watercolour and ink on paper,Purchased 1940,1931,1940,support: 152 x 222 mm,152,222,,mm,date inscribed,© Tate,http://www.tate.org.uk/art/images/work/A/A01/A01029_8.jpg,http://www.tate.org.uk/art/artworks/ardizzone-at-the-brasserie-a01029
551,A01030,"Ardizzone, Edward",artist,659,The Meeting,1931,Watercolour and ink on paper,Purchased 1940,1931,1940,support: 190 x 159 mm,190,159,,mm,date inscribed,© Tate,http://www.tate.org.uk/art/images/work/A/A01/A01030_8.jpg,http://www.tate.org.uk/art/artworks/ardizzone-the-meeting-a01030
552,A01031,"Ardizzone, Edward",artist,659,The Arrival,1931,Watercolour and ink on paper,Purchased 1940,1931,1940,support: 152 x 184 mm,152,184,,mm,date inscribed,© Tate,http://www.tate.org.uk/art/images/work/A/A01/A01031_8.jpg,http://www.tate.org.uk/art/artworks/ardizzone-the-arrival-a01031
553,A01032,"Ardizzone, Edward",artist,659,The Bedroom,1931,Watercolour and ink on paper,Purchased 1940,1931,1940,support: 171 x 229 mm,171,229,,mm,date inscribed,© Tate,http://www.tate.org.uk/art/images/work/A/A01/A01032_8.jpg,http://www.tate.org.uk/art/artworks/ardizzone-the-bedroom-a01032
554,A01033,"Ardizzone, Edward",artist,659,The Departure,1931,Watercolour and ink on paper,Purchased 1940,1931,1940,support: 171 x 210 mm,171,210,,mm,date inscribed,© Tate,http://www.tate.org.uk/art/images/work/A/A01/A01033_8.jpg,http://www.tate.org.uk/art/artworks/ardizzone-the-departure-a01033
622,A01034,"Auerbach, Frank",artist,676,[title not known],1959,Graphite on paper,Presented by the artist 1961,1959,1961,,,,,,,,,http://www.tate.org.uk/art/artworks/auerbach-title-not-known-a01034
623,A01035,"Auerbach, Frank",artist,676,[title not known],1959,Graphite on paper,Presented by the artist 1961,1959,1961,,,,,,,,,http://www.tate.org.uk/art/artworks/auerbach-title-not-known-a01035
624,A01036,"Auerbach, Frank",artist,676,[title not known],1959,Graphite on paper,Presented by the artist 1961,1959,1961,,,,,,,,,http://www.tate.org.uk/art/artworks/auerbach-title-not-known-a01036
625,A01037,"Auerbach, Frank",artist,676,[title not known],1959,Graphite on paper,Presented by the artist 1961,1959,1961,,,,,,,,,http://www.tate.org.uk/art/artworks/auerbach-title-not-known-a01037
850,A01038,"Beerbohm, Sir Max",artist,722,D.G. Rossetti Precociously Manifesting ... that Queer Indifference to Politics ...,1916–7,Graphite and watercolour on paper,Bequeathed by Sir Hugh Walpole 1941,1916,1941,support: 273 x 419 mm,273,419,,mm,,© The estate of Max Beerbohm,http://www.tate.org.uk/art/images/work/A/A01/A01038_8.jpg,http://www.tate.org.uk/art/artworks/beerbohm-dg-rossetti-precociously-manifesting-that-queer-indifference-to-politics-a01038
851,A01039,"Beerbohm, Sir Max",artist,722,"British Stock and Alien Inspiration, 1849",1917,Graphite and watercolour on paper,Bequeathed by Sir Hugh Walpole 1941,1917,1941,support: 298 x 419 mm,298,419,,mm,date inscribed,© The estate of Max Beerbohm,http://www.tate.org.uk/art/images/work/A/A01/A01039_8.jpg,http://www.tate.org.uk/art/artworks/beerbohm-british-stock-and-alien-inspiration-1849-a01039
852,A01040,"Beerbohm, Sir Max",artist,722,Rossetti’s Courtship,1916,Graphite and watercolour on paper,Bequeathed by Sir Hugh Walpole 1941,1916,1941,support: 324 x 210 mm,324,210,,mm,date inscribed,© The estate of Max Beerbohm,http://www.tate.org.uk/art/images/work/A/A01/A01040_8.jpg,http://www.tate.org.uk/art/artworks/beerbohm-rossettis-courtship-a01040
853,A01041,"Beerbohm, Sir Max",artist,722,The Sole Remark Likely to Have Been Made by Benjamin Jowett about the Mural Paintings at the Oxford Union,1916,Graphite and watercolour on paper,Bequeathed by Sir Hugh Walpole 1941,1916,1941,support: 451 x 298 mm,451,298,,mm,date inscribed,© The estate of Max Beerbohm,http://www.tate.org.uk/art/images/work/A/A01/A01041_8.jpg,http://www.tate.org.uk/art/artworks/beerbohm-the-sole-remark-likely-to-have-been-made-by-benjamin-jowett-about-the-mural-a01041
854,A01042,"Beerbohm, Sir Max",artist,722,"Miss Cornforth: ‘Oh, very pleased to meet Mr Ruskin, I’m sure’",1916,Graphite and watercolour on paper,Bequeathed by Sir Hugh Walpole 1941,1916,1941,support: 330 x 248 mm,330,248,,mm,date inscribed,© The estate of Max Beerbohm,http://www.tate.org.uk/art/images/work/A/A01/A01042_8.jpg,http://www.tate.org.uk/art/artworks/beerbohm-miss-cornforth-oh-very-pleased-to-meet-mr-ruskin-im-sure-a01042
855,A01043,"Beerbohm, Sir Max",artist,722,Ford Madox Brown being Patronized by Holman Hunt,1916,Graphite and watercolour on paper,Bequeathed by Sir Hugh Walpole 1941,1916,1941,support: 362 x 397 mm,362,397,,mm,date inscribed,© The estate of Max Beerbohm,http://www.tate.org.uk/art/images/work/A/A01/A01043_8.jpg,http://www.tate.org.uk/art/artworks/beerbohm-ford-madox-brown-being-patronized-by-holman-hunt-a01043
856,A01044,"Beerbohm, Sir Max",artist,722,A Momentary Vision that Once Befell Young Millais,1916,Graphite and watercolour on paper,Bequeathed by Sir Hugh Walpole 1941,1916,1941,support: 324 x 432 mm,324,432,,mm,date inscribed,© The estate of Max Beerbohm,http://www.tate.org.uk/art/images/work/A/A01/A01044_8.jpg,http://www.tate.org.uk/art/artworks/beerbohm-a-momentary-vision-that-once-befell-young-millais-a01044
